time,/gem/base_footprint/odom.x,/gem/base_footprint/odom.y,/gem/base_footprint/odom.z,/lio_sam_lo/mapping/odometry.x,/lio_sam_lo/mapping/odometry.y,/lio_sam_lo/mapping/odometry.z
16995.680000000,5.0262,-2.27684,-0.100033,35.442,-0.814131,-1.20401
16995.918000000,5.22295,-2.28621,-0.100033,35.5956,-0.837353,-1.21792
16996.122000000,5.39034,-2.29801,-0.100033,35.7385,-0.861791,-1.25133
16996.326000000,5.55659,-2.31324,-0.100033,35.8728,-0.891645,-1.25911
16996.496000000,5.69428,-2.3285,-0.100033,35.9975,-0.924493,-1.27535
16996.666000000,5.8312,-2.34608,-0.100033,36.0905,-0.954521,-1.28712
16996.870000000,5.9941,-2.37023,-0.100033,36.218,-0.996789,-1.2845
16997.074000000,6.15195,-2.39793,-0.100032,36.3293,-1.04524,-1.30978
16997.312000000,6.32747,-2.43537,-0.100033,36.4434,-1.11192,-1.315
16997.482000000,6.45086,-2.46661,-0.100033,36.528,-1.17329,-1.32582
16997.686000000,6.59847,-2.5096,-0.100033,36.6013,-1.23772,-1.32951
16997.856000000,6.72082,-2.54997,-0.100033,36.6775,-1.30969,-1.43075
16998.060000000,6.86643,-2.60383,-0.100033,36.744,-1.39153,-1.43273
16998.264000000,7.01043,-2.66355,-0.100033,36.8158,-1.47206,-1.45003
16998.468000000,7.15252,-2.7291,-0.100033,36.8764,-1.56424,-1.44167
16998.638000000,7.26925,-2.78812,-0.100033,36.9199,-1.63986,-1.45535
16998.842000000,7.40707,-2.86415,-0.100033,36.9731,-1.74444,-1.45174
16999.046000000,7.54215,-2.94577,-0.100033,36.9937,-1.8517,-1.44136
16999.250000000,7.67422,-3.03287,-0.100033,37.0146,-1.95607,-1.43708
16999.386000000,7.76046,-3.09393,-0.100033,37.0152,-2.04023,-1.42473
16999.590000000,7.88717,-3.19005,-0.100033,37.0258,-2.1581,-1.46245
16999.760000000,7.99148,-3.27462,-0.100032,37.0232,-2.25372,-1.44931
16999.998000000,8.13059,-3.39396,-0.100033,37.0251,-2.38781,-1.44942
17000.202000000,8.24636,-3.49798,-0.100033,37.0031,-2.50095,-1.45438
17000.372000000,8.33896,-3.58374,-0.0997026,36.9726,-2.59782,-1.47082
17000.508000000,8.40767,-3.64824,-0.100032,36.9394,-2.67282,-1.48775
17000.712000000,8.50515,-3.74061,-0.100033,36.9066,-2.7555,-1.48943
17000.882000000,8.58671,-3.81816,-0.100033,36.8553,-2.84112,-1.45698
17001.086000000,8.68706,-3.91353,-0.100033,36.7985,-2.93217,-1.45532
17001.290000000,8.78836,-4.0098,-0.100033,36.7303,-3.027,-1.45335
17001.494000000,8.88853,-4.105,-0.100033,36.5915,-3.12667,-1.29698
17001.698000000,8.98735,-4.19891,-0.100033,36.5567,-3.21665,-1.45033
17001.902000000,9.08494,-4.29165,-0.100033,36.3869,-3.3106,-1.43838
17002.072000000,9.1621,-4.36506,-0.0998585,36.3041,-3.38994,-1.47478
17002.310000000,9.26316,-4.46085,-0.100033,36.1188,-3.48095,-1.4687
17002.514000000,9.34806,-4.54135,-0.100033,35.9638,-3.56616,-1.45687
17002.684000000,9.4192,-4.60882,-0.100033,35.7916,-3.63679,-1.43943
17002.888000000,9.50501,-4.6902,-0.100033,35.6113,-3.71763,-1.44161
17003.058000000,9.57472,-4.75582,-0.0993191,35.4451,-3.78115,-1.43767
17003.262000000,9.65382,-4.83091,-0.100033,35.2321,-3.85026,-1.45736
17003.466000000,9.73229,-4.90524,-0.100033,34.9864,-3.92647,-1.4491
17003.670000000,9.81019,-4.97903,-0.100033,34.7225,-4.00344,-1.42908
